codename,article_1,article_2,article_3
A,mpqa_39,basil_5_fox,allsides_immigration_r_5
B,allsides_abortion_r_1,allsides_race_and_racism_l_3,basil_64_hpo
C,basil_99_nyt,allsides_violence_in_america_r_5,allsides_immigration_c_4
D,allsides_gun_control_and_gun_rights_c_5,mpqa_26,basil_72_fox
E,mpqa_60,allsides_race_and_racism_c_4,allsides_politics_r_5
F,mpqa_29,basil_72_nyt,allsides_us_senate_l_5
G,basil_54_hpo,basil_15_fox,allsides_lgbt_rights_c_1
H,allsides_coronavirus_r_4,mpqa_42,allsides_immigration_l_1
I,basil_88_hpo,allsides_coronavirus_c_1,allsides_us_house_c_5
L,basil_4_hpo,allsides_abortion_c_2,allsides_violence_in_america_l_3
