STEP 1:
* aid
* disaster
* approved
* deal
* green-lighting
* relief
* waiting
* help
* devastating
* hurricanes
* wildfires
* floods
* funding
* proven
* challenging
* roadblocks
* thrown
* initially
* took
* issue
* additional
* hurricane-devastated
* spurred
* back-and-forth
* requested
* complicated
* discussions
* finally
* completely
* stripped
* allocated
* agreed
* demanded
* demanded
* demanded
* demanded
* demanded
* demanded
* demanded
* demanded
* demanded
* demanded
* demanded
* demanded
* demanded
* demanded
* demanded
* demanded
* demanded
* demanded
* demanded
* demanded
* demanded
* demanded
* demanded
* demanded
* demanded
* demanded
* demanded
* demanded
* demanded
* demanded
* demanded
* demanded
* demanded
* demanded
* demanded
* demanded
* demanded
* demanded
* demanded
* demanded
* demanded
* demanded
* demanded
* demanded
* demanded
* demanded
* demanded
* demanded
* demanded
* demanded
* demanded
* demanded
* demanded
* demanded
* demanded
* demanded
* demanded
* demanded
* demanded
* demanded
* demanded
* demanded
* demanded
* demanded
* demanded
* demanded
* demanded
* demanded
* demanded
* demanded
* demanded
* demanded
* demanded
* demanded
* demanded
* demanded
* demanded
* demanded
* demanded
* demanded
* demanded
* demanded
* demanded
* demanded
* demanded
* demanded
* demanded
* demanded
* demanded
* demanded
* demanded
* demanded
* demanded
* demanded
* demanded
* demanded
* demanded
* demanded
* demanded
* demanded
* demanded
* demanded
* demanded
* demanded
* demanded
* demanded
* demanded
* demanded
* demanded
* demanded
* demanded
* demanded
* demanded
* demanded
* demanded
* demanded
* demanded
* demanded
* demanded
* demanded
* demanded
* demanded
* demanded
* demanded
* demanded
* demanded
* demanded
* demanded
* demanded
* demanded
* demanded
* demanded
* demanded
* demanded
* demanded
* demanded
* demanded
* demanded
* demanded
* demanded
* demanded
* demanded
* demanded
* demanded
* demanded
* demanded
* demanded
* demanded
* demanded
* demanded
* demanded
* demanded
* demanded
* demanded
* demanded
* demanded
* demanded
* demanded
* demanded
* demanded
* demanded
* demanded
* demanded
* demanded
* demanded
* demanded
* demanded
* demanded
* demanded
* demanded
* demanded
* demanded
* demanded
* demanded
* demanded
* demanded
* demanded
* demanded
* demanded
