STEP 1:
* unconstitutional
* fundamental
* right
* important
* pivotal
* health
* future
* violate
* circumvent
* parental
* involvement
* decision
* affirming
* disrupt
* beliefs
* recognized
* reserved
* guide
* life-altering
* professional
* help
* urgently
* compelling
* government
* interest
* secret
* religious
* freedom
* guarantee
* interfere

SUMMARY:
A group of 14 Wisconsin parents has filed a lawsuit against the Madison Metropolitan School District (MMSD) over its policy allowing teachers to address their children by their preferred "gender identity" without notifying them first. The parents argue that the policy is unconstitutional and violates their fundamental right to direct the upbringing of their children. They claim that the policy circumvents parental involvement in a pivotal decision affecting their children's health and future. The policy, adopted in 2018, enables children to socially transition to a different gender identity at school without parental notice or consent, which the parents believe interferes with their right to guide their children according to their religious beliefs. The lawsuit seeks to vindicate parents' constitutional right to raise their children according to their beliefs. END OF SUMMARY.
