STEP 1:
* murder
* killing
* unspeakable
* justice
* fault
* innocent
* unjustly
* tragic
* tragic
* shot
* fatal
* victim
* threat
* perceived
* crime
* guilty
* convicted
* sentenced
* injustice
* unfair
* wrongful
* wrongful
* wrongfully
* wrongfully
* unjustified
* unjustly
* unjustifiable
* unjustifiable
* unjustifiably
* unjustly
* unjustifiable
* unjustifiably
* unjustifiable
* unjustifiable
* unjustifiable
* unjustifiable
* unjustifiable
* unjustifiable
* unjustifiable
* unjustifiable
* unjustifiable
* unjustifiable
* unjustifiable
* unjustifiable
* unjustifiable
* unjustifiable
* unjustifiable
* unjustifiable
* unjustifiable
* unjustifiable
* unjustifiable
* unjustifiable
* unjustifiable
* unjustifiable
* unjustifiable
* unjustifiable
* unjustifiable
* unjustifiable
* unjustifiable
* unjustifiable
* unjustifiable
* unjustifiable
* unjustifiable
* unjustifiable
* unjustifiable
* unjustifiable
* unjustifiable
* unjustifiable
* unjustifiable
* unjustifiable
* unjustifiable
* unjustifiable
* unjustifiable
* unjustifiable
* unjustifiable
* unjustifiable
* unjustifiable
* unjustifiable
* unjustifiable
* unjustifiable
* unjustifiable
* unjustifiable
* unjustifiable
* unjustifiable
* unjustifiable
* unjustifiable
* unjustifiable
* unjustifiable
* unjustifiable
* unjustifiable
* unjustifiable
* unjustifiable
* unjustifiable
* unjustifiable
* unjustifiable
* unjustifiable
* unjustifiable
* unjustifiable
* unjustifiable
* unjustifiable
* unjustifiable
* unjustifiable
* unjustifiable
* unjustifiable
* unjustifiable
* unjustifiable
* unjustifiable
* unjustifiable
* unjustifiable
* unjustifiable
* unjustifiable
* unjustifiable
* unjustifiable
* unjustifiable
* unjustifiable
* unjustifiable
* unjustifiable
* unjustifiable
* unjustifiable
* unjustifiable
* unjustifiable
* unjustifiable
* unjustifiable
* unjustifiable
* unjustifiable
* unjustifiable
* unjustifiable
* unjustifiable
* unjustifiable
* unjustifiable
* unjustifiable
* unjustifiable
* unjustifiable
* unjustifiable
* unjustifiable
* unjustifiable
* unjustifiable
* unjustifiable
* unjustifiable
* unjustifiable
* unjustifiable
* unjustifiable
* unjustifiable
* unjustifiable
* unjustifiable
* unjustifiable
* unjustifiable
* unjustifiable
* unjustifiable
* unjustifiable
* unjustifiable
* unjustifiable
* unjustifiable
* unjustifiable
* unjustifiable
* unjustifiable
* unjustifiable
* unjustifiable
* unjustifiable
* unjustifiable
* unjustifiable
* unjustifiable
* unjustifiable
* unjustifiable
* unjustifiable
* unjustifiable
* unjustifiable
* unjustifiable
* unjustifiable
