article,vanilla,simple,cot,oracle,class
allsides_abortion_c_2,2.3857142857142857,1.7285714285714286,2.3714285714285714,2.185714285714286,2.642857142857143
allsides_abortion_l_3,2.407692307692308,2.6923076923076925,2.184615384615385,3.0384615384615383,2.8692307692307693
allsides_abortion_r_1,3.6,3.6,3.45,4.0,3.2
allsides_coronavirus_c_1,2.4545454545454546,2.534090909090909,2.4772727272727275,3.0,2.7727272727272725
allsides_coronavirus_r_4,4.05,2.841666666666667,3.616666666666667,3.2666666666666666,3.3916666666666666
allsides_elections_c_5,3.083333333333333,2.666666666666667,2.541666666666667,2.708333333333333,3.0416666666666665
allsides_elections_l_4,2.364705882352941,2.5470588235294116,2.817647058823529,2.585294117647059,2.9705882352941178
allsides_gun_control_and_gun_rights_c_5,4.0,3.5,4.25,3.75,4.25
allsides_gun_control_and_gun_rights_l_4,2.5166666666666666,1.5333333333333332,1.7666666666666666,2.0,2.2
allsides_immigration_c_4,1.9375,2.1875,2.020833333333333,1.9791666666666665,2.208333333333333
allsides_immigration_l_1,3.0,3.5,3.5,4.375,3.25
allsides_immigration_r_5,3.166666666666667,2.916666666666667,3.583333333333333,3.375,3.333333333333333
allsides_lgbt_rights_c_1,2.0,2.666666666666667,2.458333333333333,2.25,2.4375
allsides_lgbt_rights_r_2,4.5,4.5,4.5,4.5,4.5
allsides_politics_c_1,3.7111111111111112,3.7444444444444445,3.2444444444444445,3.7333333333333334,3.1333333333333333
allsides_politics_l_4,4.0,2.625,3.5,4.125,3.375
allsides_politics_r_5,3.842857142857143,3.6,3.642857142857143,3.871428571428572,3.257142857142857
allsides_race_and_racism_c_4,2.557142857142857,3.5714285714285716,3.685714285714286,3.6571428571428575,3.857142857142857
allsides_race_and_racism_l_3,2.9722222222222223,4.222222222222221,3.166666666666667,3.2777777777777777,3.611111111111111
allsides_race_and_racism_r_4,2.8095238095238093,3.280952380952381,2.928571428571429,3.447619047619048,3.5904761904761906
allsides_us_house_c_5,2.861111111111111,2.6527777777777777,3.625,3.125,3.4027777777777777
allsides_us_house_r_4,3.475,3.5,3.35,2.95,2.975
allsides_us_senate_c_2,3.5,3.666666666666667,3.0,3.2666666666666666,3.5
allsides_us_senate_l_5,3.4,3.2,2.0,3.3,3.4
allsides_us_senate_r_5,2.75,2.3333333333333335,2.75,2.416666666666667,2.75
allsides_violence_in_america_l_3,2.087301587301587,2.4603174603174605,2.134920634920635,2.4682539682539684,3.182539682539683
allsides_violence_in_america_r_5,3.533333333333333,3.283333333333333,3.083333333333333,3.25,3.283333333333333
allsides_white_house_c_2,3.333333333333333,3.916666666666667,2.833333333333333,3.0,4.833333333333334
allsides_white_house_l_3,3.3095238095238093,3.916666666666667,4.0,4.0476190476190474,4.071428571428571
basil_15_fox,3.732142857142857,3.928571428571429,3.125,3.732142857142857,3.857142857142857
basil_18_fox,2.55,3.625,3.175,2.5375,3.1
basil_35_nyt,1.9,2.4333333333333336,2.966666666666667,3.533333333333333,3.033333333333333
basil_43_fox,4.083333333333334,3.25,4.333333333333334,3.9166666666666665,4.583333333333334
basil_44_nyt,2.708333333333333,3.416666666666667,3.458333333333333,3.666666666666667,3.458333333333333
basil_4_hpo,2.8333333333333335,2.666666666666667,3.6666666666666665,3.166666666666667,3.0
basil_52_nyt,2.9333333333333336,3.2,3.8,3.533333333333333,3.0666666666666664
basil_54_hpo,3.7666666666666666,4.366666666666667,3.833333333333333,3.7666666666666666,3.166666666666667
basil_58_fox,4.0,5.0,4.75,4.0,4.25
basil_58_nyt,2.625,2.274193548387097,1.9556451612903225,2.879032258064516,2.366935483870968
basil_5_fox,4.0,3.0,3.166666666666667,3.333333333333333,3.0
basil_5_hpo,3.0,2.875,2.4375,2.75,2.5625
basil_60_nyt,2.833333333333333,3.5,2.5,2.833333333333333,3.666666666666667
basil_61_fox,4.111111111111111,3.9444444444444446,4.111111111111111,3.9444444444444446,4.111111111111111
basil_64_hpo,3.333333333333333,3.25,4.083333333333334,3.416666666666667,4.5
basil_72_fox,3.0,3.3333333333333335,4.166666666666666,3.0,3.833333333333333
basil_72_nyt,2.4,2.966666666666667,2.6333333333333333,3.6,3.4333333333333336
basil_80_hpo,4.111111111111111,3.666666666666667,3.888888888888889,4.333333333333333,4.0
basil_88_hpo,2.6904761904761907,2.9404761904761907,3.3095238095238093,3.369047619047619,2.857142857142857
basil_8_hpo,2.435714285714286,2.1690476190476193,2.126190476190476,2.6809523809523808,2.0166666666666666
basil_99_nyt,3.6,3.111111111111111,4.044444444444444,3.2444444444444445,3.4444444444444446
mpqa_26,4.0,4.25,3.25,4.0,3.5
mpqa_29,2.6095238095238096,2.7,2.1904761904761907,2.5904761904761906,2.2476190476190476
mpqa_30,2.607142857142857,2.613095238095238,2.4404761904761907,2.607142857142857,3.4642857142857144
mpqa_34,3.625,3.375,3.75,3.5,3.625
mpqa_37,4.0,3.5999999999999996,3.8,4.1,4.1
mpqa_39,3.8333333333333335,3.5833333333333335,3.083333333333333,3.5,3.6666666666666665
mpqa_41,2.6666666666666665,4.333333333333333,4.666666666666667,5.0,4.666666666666667
mpqa_42,3.6964285714285716,4.446428571428571,3.4464285714285716,4.071428571428571,4.857142857142858
mpqa_60,2.7142857142857144,3.142857142857143,2.607142857142857,3.142857142857143,3.904761904761905
mpqa_69,2.888888888888889,2.638888888888889,2.638888888888889,3.166666666666667,3.2777777777777777
