pair;justification
b7Wh - 1LKP;"1LKP omits “Israeli terrorist attacks”; keeps “targeted killings”; weaker moral framing."
b7Wh - j3MO;"j3MO omits “Israeli terrorist attacks” and “targeted killings”; uses “lamented” instead of “condemned”; weaker moral framing."
b7Wh - kUZI;Few differences
b7Wh - T238;"T238 omits “targeted killings”; slightly weaker."
T238 - 1LKP;"1LKP omits “Israeli terrorist attacks”; keeps “targeted killings”; T238 does the opposite."
T238 - j3MO;"j3MO omits both “Israeli terrorist attacks” and “targeted killings”; softer wording."
T238 - kUZI;"T238 omits “targeted killings”; slightly weaker."
kUZI - j3MO;"j3MO omits both “Israeli terrorist attacks” and “targeted killings”; weaker moral framing."
b7Wh - 1LKP;"1LKP omits “Israeli terrorist attacks”; keeps “targeted killings”; weaker moral framing."
b7Wh - j3MO;"j3MO omits “Israeli terrorist attacks” and “targeted killings”; uses “lamented” instead of “condemned”; weaker moral framing."
