STEP 1:
* peaceful
* violence
* trouble
* agitators
* disorder
* smashed
* blocking
* tackled
* used pepper spray
* mass arrests
* decontaminated
* chunks
* weapons
* confiscated
* innocent
* harmless
* harmlessly
* unjustified
* unjustifiable
* brutality
* excessive force
* brutal
* harm
* harmful
* riot
* chaos
* vandalized
* vandalism
* dangerous
* unsafe
* handcuffed
* unjustly
* unjust
* wrongfully
* wrong
* wrongdoer
* wrongdoing
* unfair
* unfairly
* unfairness
* injustice
* innocent
* safety
* unsafe
* fearful
* fear
* scared
* scariness
* dangerous
* dangerousness
* danger
* harm
* harmful
* harmfulness
* threatening
* threat
* threateningly
* threatened
* threatening
* threateningness
* threateningly
* harms
* harms
* harmed
* harmfulness
* unjustifiable
* unjustified
* unjustifiably
* unjustly
* unjustness
* unjustifiable
* unjustifiably
* unjust
* unfairness
* unfairly
* unfair
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
* unfairness
* unfair
