STEP 1: 
* Strength
* Protecting
* Preserving
* Moral
* Clarity
* Values
* Priority
* Resist
* Power
* Oppose
* Violations
* Support
* Spread
* Freedom
* Reinforce
* Alliances
* Subjugate
* Commitments
* Advance
* Rights
* Vulnerable
* Afflicted
* Peoples
* Hear
* Cries
* Suffering
* Desire
* Freedom

SUMMARY: Senator Marco Rubio, a 2016 presidential candidate, is set to outline his foreign policy approach, which prioritizes American strength and protecting the nation's economy in a globalized world while preserving the moral clarity of its core values. Rubio pledges to "adequately fund" the military and use American power to oppose violations of international spaces, including economic disruptions caused by invasions. As president, he promises to support the spread of economic and political freedom, reinforce alliances, resist subjugation, and advance the rights of the vulnerable. Rubio's vision emphasizes America's commitment to hearing the cries and desires for freedom from the afflicted peoples of the world. END OF SUMMARY.
